"Inventar-Nr","Status","Hersteller","Modell","Kurzbezeichnung","Objekttyp","Farbe","Seriennummer","Kaufdatum","Einkaufspreis","Gerätefoto","Standort","Bereich","Unterkategorie","Zuständige Person","Vorbesitzer","Zustandshinweis"
"0332","Verfügbar","Tamron","28-75mm F/2.8 Di III RXD",,"Objektiv","Schwarz","090995",,,"IMG_4578.jpg",,"[""Medientechnik""]","[""Video""]",,,
"0333","Verfügbar","Sony","SEL85F14GM",,"Objektiv","Schwarz","1843719",,,"IMG_4576.jpg",,"[""Medientechnik""]","[""Video""]",,,
"0343","Verfügbar","LYNX","CHD 1802-1","HDMI to SDI Converter","Converter HDMI to SDI","Gelb","100008180206511",,,"IMG_6336.JPG",,"[""Medientechnik""]","[""Video""]",,,
"0342","Verfügbar","LYNX","CHD 1812","HDMI to SDI Converter","Converter HDMI to SDI","Gelb","000000000100351",,,"IMG_6337.JPG",,"[""Medientechnik""]","[""Video""]",,,
"0341","Verfügbar","Blackmagic Design","Miniconverter SDI to HDMI 6G","SDI to HDMI Converter","Converter SDI to HDMI","Grau","11860426","22.02.2024","200,19","IMG_6338.JPG","Converter Case","[""Medientechnik""]","[""Video""]",,,
"0402","Verfügbar","Sony","ILME-FX3","FX3","Videokamera","Grau","3777762","10.07.2024","3.400,00","IMG_9079.jpg","Lager Videoproduktion","[""Medientechnik""]","[""Video""]","John Markus Görzen | EF-Köln",,"Gebraucht gekauft"
"0403","Verfügbar","Sony","SEL70200GM - F2.8/70-200mm ",,"Objektiv","Weiß","1851606","10.07.2024","1.199,00","IMG_9082.jpg","Lager Videoproduktion","[""Medientechnik""]","[""Video""]","John Markus Görzen | EF-Köln",,"gebraucht gekauft"
"0404","Verfügbar","Sony","SEL24F14GM - F1.4/24mm",,"Objektiv","Schwarz","1879811","10.07.2024","799,00","IMG_9083.jpg","Lager Videoproduktion","[""Medientechnik""]","[""Video""]","John Markus Görzen | EF-Köln",,"gebraucht gekauft"
"0405","Verfügbar","Sony","ILME-FX3","FX3","Videokamera","Grau","3777325","26.07.2024","3.500,00","IMG_0119.jpg","Lager Videoproduktion","[""Medientechnik""]","[""Video""]","John Markus Görzen | EF-Köln",,"XLR-Handle ist geklebt"
"0406","Verfügbar","Feelworld","FW568",,"Fieldmonitor","Schwarz","568V32202185",,,"IMG_0731.jpg","Lager Videoproduktion","[""Medientechnik""]","[""Video""]",,,
"0407","Verfügbar","Lilliput","FS5","Fieldmonitor","Fieldmonitor","Schwarz",,"23.02.2024","259,00","IMG_0728.jpg","Lager Videoproduktion","[""Medientechnik""]","[""Video""]",,,
